公历日期,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2020/9/14,星期一,2020,七月,廿七,庚子,鼠,4,乙酉,庚申,,,,,,
2020/9/15,星期二,2020,七月,廿八,庚子,鼠,4,乙酉,辛酉,,,,,,
2020/9/16,星期三,2020,七月,廿九,庚子,鼠,4,乙酉,壬戌,,,,,,
2020/9/17,星期四,2020,八月,初一,庚子,鼠,4,乙酉,癸亥,,,,,,
2020/9/18,星期五,2020,八月,初二,庚子,鼠,4,乙酉,甲子,,,,,,
2020/9/19,星期六,2020,八月,初三,庚子,鼠,4,乙酉,乙丑,,,,,,
2020/9/20,星期日,2020,八月,初四,庚子,鼠,4,乙酉,丙寅,,,,,,
2020/9/21,星期一,2020,八月,初五,庚子,鼠,4,乙酉,丁卯,,,,,,
2020/9/22,星期二,2020,八月,初六,庚子,鼠,4,乙酉,戊辰,秋分,21:30:32,农民丰收节,,,
2020/9/23,星期三,2020,八月,初七,庚子,鼠,4,乙酉,己巳,,,,,,
2020/9/24,星期四,2020,八月,初八,庚子,鼠,4,乙酉,庚午,,,,,,
2020/9/25,星期五,2020,八月,初九,庚子,鼠,4,乙酉,辛未,,,,,,
2020/9/26,星期六,2020,八月,初十 ,庚子,鼠,4,乙酉,壬申,,,,,,
2020/9/27,星期日,2020,八月,十一,庚子,鼠,4,乙酉,癸酉,,,,,,
2020/9/28,星期一,2020,八月,十二,庚子,鼠,4,乙酉,甲戌,,,,,,
2020/9/29,星期二,2020,八月,十三,庚子,鼠,4,乙酉,乙亥,,,,,,
2020/9/30,星期三,2020,八月,十四,庚子,鼠,4,乙酉,丙子,,,,,,
2020/10/1,星期四,2020,八月,十五,庚子,鼠,4,乙酉,丁丑,,,国庆节,中秋节,,
2020/10/2,星期五,2020,八月,十六,庚子,鼠,4,乙酉,戊寅,,,,,,
2020/10/3,星期六,2020,八月,十七,庚子,鼠,4,乙酉,己卯,,,,,,
2020/10/4,星期日,2020,八月,十八,庚子,鼠,4,乙酉,庚辰,,,,,,
2020/10/5,星期一,2020,八月,十九,庚子,鼠,4,乙酉,辛巳,,,,,,
